id,name
ABDU,American Black Duck
ACFL,Acadian Flycatcher
ALFL,Alder Flycatcher
AMAV,American Avocet
AMBI,American Bittern
AMCO,American Coot
AMCR,American Crow
AMGO,American Goldfinch
AMGP,American Golden-Plover
AMKE,American Kestrel
AMOY,American Oystercatcher
AMPI,American Pipit
AMRE,American Redstart
AMRO,American Robin
AMWI,American Wigeon
AMWO,American Woodcock
ANHI,Anhinga
ANHU,Anna's Hummingbird
ANMU,Ancient Murrelet
ARTE,Arctic Tern
ATFL,Ash-throated Flycatcher
ATPU,Atlantic Puffin
ATSP,American Tree Sparrow
ATTW,American Three-toed Woodpecker
AUSH,Audubon's Shearwater
AWPE,American White Pelican
BACS,Bachman's Sparrow
BAEA,Bald Eagle
BAGO,Barrow's Goldeneye
BAIS,Baird's Sparrow
BANS,Bank Swallow
BAOR,Baltimore Oriole
BARS,Barn Swallow
BASA,Baird's Sandpiper
BAWW,Black-and-white Warbler
BBCU,Black-billed Cuckoo
BBLH,Broad-billed Hummingbird
BBMA,Black-billed Magpie
BBPL,Black-bellied Plover
BBSA,Buff-breasted Sandpiper
BBWA,Bay-breasted Warbler
BBWD,Black-bellied Whistling-Duck
BBWO,Black-backed Woodpecker
BCCH,Black-capped Chickadee
BCHU,Black-chinned Hummingbird
BCNH,Black-crowned Night-Heron
BCPE,Black-capped Petrel
BCVI,Black-capped Vireo
BDOW,Barred Owl
BEKI,Belted Kingfisher
BEVI,Bell's Vireo
BEWR,Bewick's Wren
BGGN,Blue-gray Gnatcatcher
BHCO,Brown-headed Cowbird
BHGR,Black-headed Grosbeak
BHGU,Black-headed Gull
BHVI,Blue-headed Vireo
BITH,Bicknell's Thrush
BLAG,Black-tailed Godwit
BLBW,Blackburnian Warbler
BLGR,Blue Grosbeak
BLGU,Black Guillemot
BLJA,Blue Jay
BLKI,Black-legged Kittiwake
BLPW,Blackpoll Warbler
BLRA,Black Rail
BLSC,Black Scoter
BLSK,Black Skimmer
BLSW,Black Swift
BLTE,Black Tern
BLTG,Black-tailed Gull
BLVU,Black Vulture
BNOW,Barn Owl
BNST,Black-necked Stilt
BOBO,Bobolink
BOCH,Boreal Chickadee
BOGU,Bonaparte's Gull
BOOW,Boreal Owl
BOWA,Bohemian Waxwing
BRAM,Brambling
BRAN,Brant
BRBL,Brewer's Blackbird
BRBO,Brown Booby
BRCR,Brown Creeper
BRNG,Barnacle Goose
BRPE,Brown Pelican
BRSP,Brewer's Sparrow
BRST,Band-rumped Storm-Petrel
BRTH,Brown Thrasher
BTBW,Black-throated Blue Warbler
BTNW,Black-throated Green Warbler
BTPI,Band-tailed Pigeon
BTSP,Black-throated Sparrow
BTYW,Black-throated Gray Warbler
BUFF,Bufflehead
BUOR,Bullock's Oriole
BUOW,Burrowing Owl
BWHA,Broad-winged Hawk
BWTE,Blue-winged Teal
BWWA,Blue-winged Warbler
CACG,Cackling Goose
CACH,Carolina Chickadee
CAEG,Cattle Egret
CAFI,Cassin's Finch
CAGO,Canada Goose
CAGU,California Gull
CAHU,Calliope Hummingbird
CAJA,Canada Jay
CAKI,Cassin's Kingbird
CANV,Canvasback
CARW,Carolina Wren
CASP,Cassin's Sparrow
CASW,Cave Swallow
CATE,Caspian Tern
CAWA,Canada Warbler
CCLO,Chestnut-collared Longspur
CCSP,Clay-colored Sparrow
CEDW,Cedar Waxwing
CERW,Cerulean Warbler
CHRA,Chihuahuan Raven
CHSP,Chipping Sparrow
CHSW,Chimney Swift
CHUK,Chukar
CITE,Cinnamon Teal
CLNU,Clark's Nutcracker
CLSW,Cliff Swallow
CMWA,Cape May Warbler
COEI,Common Eider
COGA,Common Gallinule
COGD,Common Ground Dove
COGO,Common Goldeneye
COGR,Common Grackle
COHA,Cooper's Hawk
COLO,Common Loon
COME,Common Merganser
CONI,Common Nighthawk
CONW,Connecticut Warbler
COPO,Common Poorwill
CORA,Common Raven
CORE,Common Redpoll
COTE,Common Tern
COYE,Common Yellowthroat
CRCA,Crested Caracara
CRPL,Common Ringed Plover
CSWA,Chestnut-sided Warbler
CUSA,Curlew Sandpiper
