"id","scientific_name","common_name","mass","max_freq_kHz","migratory_status","nest_height_m","habitat","food","behavior"
"ALFL","Empidonax alnorum","Alder Flycatcher",12.7,6.4,"Neotropical migrant",1,"Scrub","Insects","Flycatching"
"AMCR","Corvus brachyrhynchos","American Crow",448.76,1.62,"Short distance migrant",8,"Open Woodland","Omnivore","Ground Forager"
"AMGO","Spinus tristis","American Goldfinch",12.79,8.25,"Short distance migrant",2,"Open Woodland","Seeds","Foliage Gleaner"
"AMPI","Anthus rubescens","American Pipit",20.68,8,"Neotropical migrant",0,"Grassland","Insects","Ground Forager"
"AMRE","Setophaga ruticilla","American Redstart",8.24,8,"Neotropical migrant",2,"Forest","Insects","Foliage Gleaner"
"AMRO","Turdus migratorius","American Robin",78.5,4,"Short distance migrant",2,"Open Woodland","Insects","Ground Forager"
"ATSP","Spizella arborea","American Tree Sparrow",17.83,6.5,"Short distance migrant",0,"Open Woodland","Seeds","Ground Forager"
"ATTW","Picoides dorsalis","American Three-toed Woodpecker",55.05,3.2,"Resident",5.6,"Forest","Insects","Bark Forager"
"BANS","Riparia riparia","Bank Swallow",12.68,7,"Neotropical migrant",3,"Lake/Pond","Insects","Aerial Forager"
"BAOR","Icterus galbula","Baltimore Oriole",32.83,3.9,"Neotropical migrant",8,"Open Woodland","Insects","Foliage Gleaner"
"BARS","Hirundo rustica","Barn Swallow",17.91,7,"Neotropical migrant",2,"Grassland","Insects","Aerial Forager"
"BAWW","Mniotilta varia","Black-and-white Warbler",10.9,9,"Neotropical migrant",0,"Forest","Insects","Bark Forager"
"BBCU","Coccyzus erythropthalmus","Black-billed Cuckoo",50.9,2.5,"Neotropical migrant",1,"Forest","Insects","Foliage Gleaner"
"BBMA","Pica hudsonia","Black-billed Magpie",217.48,6,"Resident",4,"Open Woodland","Omnivore","Ground Forager"
"BBWA","Setophaga castanea","Bay-breasted Warbler",11.8,9,"Neotropical migrant",4,"Forest","Insects","Foliage Gleaner"
"BBWO","Picoides arcticus","Black-backed Woodpecker",69.24,12,"Resident",4,"Forest","Insects","Bark Forager"
"BCCH","Poecile atricapillus","Black-capped Chickadee",10.8,3.2,"Resident",2,"Forest","Insects","Foliage Gleaner"
"BEKI","Megaceryle alcyon","Belted Kingfisher",148,9,"Short distance migrant",4,"Lake/Pond","Fish","Aerial Dive"
"BHCO","Molothrus ater","Brown-headed Cowbird",40.26,12,"Short distance migrant",2,"Grassland","Seeds","Ground Forager"
"BHVI","Vireo solitarius","Blue-headed Vireo",15.3,6,"Short distance migrant",3,"Forest","Insects","Foliage Gleaner"
"BLBW","Setophaga fusca","Blackburnian Warbler",9.74,11.5,"Neotropical migrant",9,"Forest","Insects","Foliage Gleaner"
"BLJA","Cyanocitta cristata","Blue Jay",88,3.2,"Resident",4,"Forest","Omnivore","Ground Forager"
"BLPW","Setophaga striata","Blackpoll Warbler",11.84,10.225,"Neotropical migrant",2,"Forest","Insects","Foliage Gleaner"
"BOCH","Poecile hudsonicus","Boreal Chickadee",9.8,7.7,"Resident",3,"Forest","Insects","Foliage Gleaner"
"BOWA","Bombycilla garrulus","Bohemian Waxwing",54.41,10,"Nomadic",8,"Forest","Insects","Foliage Gleaner"
"BRBL","Euphagus cyanocephalus","Brewer's Blackbird",62.48,6.7,"Short distance migrant",0,"Town","Seeds","Ground Forager"
"BRCR","Certhia americana","Brown Creeper",8.1,8.5,"Resident",3,"Forest","Insects","Bark Forager"
"BRTH","Toxostoma rufum","Brown Thrasher",68.8,6.5,"Short distance migrant",1,"Scrub","Omnivore","Ground Forager"
"BTBW","Setophaga caerulescens","Black-throated Blue Warbler",10.14,6,"Neotropical migrant",0,"Forest","Insects","Foliage Gleaner"
"BTNW","Setophaga virens","Black-throated Green Warbler",8.69,8,"Neotropical migrant",5,"Forest","Insects","Foliage Gleaner"
"BWWA","Vermivora cyanoptera","Blue-winged Warbler",8.9,6.8,"Neotropical migrant",0,"Open Woodland","Insects","Foliage Gleaner"
"CAWA","Cardellina canadensis","Canada Warbler",10.04,7.39,"Neotropical migrant",0,"Forest","Insects","Foliage Gleaner"
"CCSP","Spizella pallida","Clay-colored Sparrow",11.2,5.5,"Neotropical migrant",1,"Scrub","Seeds","Foliage Gleaner"
"CEDW","Bombycilla cedrorum","Cedar Waxwing",31.58,8.5,"Short distance migrant",2,"Open Woodland","Fruit","Foliage Gleaner"
"CHSP","Spizella passerina","Chipping Sparrow",12.2,5.98,"Short distance migrant",2,"Open Woodland","Seeds","Ground Forager"
"CLSW","Petrochelidon pyrrhonota","Cliff Swallow",21.6,7,"Neotropical migrant",4,"Lake/Pond","Insects","Aerial Forager"
"CMWA","Setophaga tigrina","Cape May Warbler",10.04,8.65,"Neotropical migrant",11,"Forest","Insects","Foliage Gleaner"
"COGR","Quiscalus quiscula","Common Grackle",105.18,4,"Short distance migrant",3,"Open Woodland","Omnivore","Ground Forager"
"CONW","Oporornis agilis","Connecticut Warbler",13.3,16,"Neotropical migrant",0,"Forest","Insects","Ground Forager"
"CORA","Corvus corax","Common Raven",927.97,4,"Resident",17,"Mountains","Omnivore","Ground Forager"
"COYE","Geothlypis trichas","Common Yellowthroat",9.54,6.3,"Short distance migrant",0,"Scrub","Insects","Foliage Gleaner"
"CSWA","Setophaga pensylvanica","Chestnut-sided Warbler",9.29,7.5,"Neotropical migrant",1,"Open Woodland","Insects","Foliage Gleaner"
"DEJU","Junco hyemalis","Dark-eyed Junco",19.5,8.2,"Short distance migrant",0,"Forest","Seeds","Ground Forager"
"DOWO","Picoides pubescens","Downy Woodpecker",25.55,4.25,"Resident",6,"Forest","Insects","Bark Forager"
"DUNL","Calidris alpina","Dunlin",51.89,3.5,"Short distance migrant",0,"Shore-line","Insects","Probing"
"EABL","Sialia sialis","Eastern Bluebird",27.5,3.5,"Short distance migrant",3,"Grassland","Insects","Ground Forager"
"EAKI","Tyrannus tyrannus","Eastern Kingbird",39.85,8.2,"Neotropical migrant",3,"Grassland","Insects","Flycatching"
"EAPH","Sayornis phoebe","Eastern Phoebe",19.7,5,"Short distance migrant",2,"Open Woodland","Insects","Flycatching"
"EATO","Pipilo erythrophthalmus","Eastern Towhee",40.03,9,"Short distance migrant",1.5,"Scrub","Omnivore","Ground Forager"
"EAWP","Contopus virens","Eastern Wood-Pewee",13.9,5,"Neotropical migrant",7,"Forest","Insects","Flycatching"
"EUST","Sturnus vulgaris","European Starling",77.14,6,"Short distance migrant",6,"Town","Insects","Ground Forager"
"EVGR","Coccothraustes vespertinus","Evening Grosbeak",57.3,4.2,"Nomadic",12,"Forest","Seeds","Ground Forager"
"FISP","Spizella pusilla","Field Sparrow",12.5,4.1,"Short distance migrant",1,"Scrub","Insects","Ground Forager"
"FOSP","Passerella iliaca","Fox Sparrow",33.25,7,"Short distance migrant",0,"Forest","Insects","Ground Forager"
"GCFL","Myiarchus crinitus","Great Crested Flycatcher",32.1,3.5,"Neotropical migrant",3,"Open Woodland","Insects","Flycatching"
"GCKI","Regulus satrapa","Golden-crowned Kinglet",6.19,9.5,"Short distance migrant",10,"Forest","Insects","Foliage Gleaner"
"GCSP","Zonotrichia atricapilla","Golden-crowned Sparrow",31.99,5.5,"Short distance migrant",0,"Scrub","Insects","Ground Forager"
"GCTH","Catharus minimus","Gray-cheeked Thrush",31.58,7.5,"Neotropical migrant",2,"Forest","Insects","Ground Forager"
"CAJA","Perisoreus canadensis","Gray Jay",71.58,1.8,"Resident",4,"Forest","Omnivore","Ground Forager"
"GRCA","Dumetella carolinensis","Gray Catbird",35.3,9,"Short distance migrant",1,"Open Woodland","Insects","Ground Forager"
"GRYE","Tringa melanoleuca","Greater Yellowlegs",161.74,3.45,"Short distance migrant",0,"Marsh","Insects","Probing"
"GWWA","Vermivora chrysoptera","Golden-winged Warbler",8.74,8.5,"Neotropical migrant",0,"Open Woodland","Insects","Foliage Gleaner"
"HAFL","Empidonax hammondii","Hammond's Flycatcher",10.44,7,"Neotropical migrant",8,"Forest","Insects","Flycatching"
"HAWO","Picoides villosus","Hairy Woodpecker",62.65,5.5,"Resident",8,"Forest","Insects","Bark Forager"
"HETH","Catharus guttatus","Hermit Thrush",30.1,6.5,"Short distance migrant",0,"Open Woodland","Insects","Ground Forager"
"HOLA","Eremophila alpestris","Horned Lark",33.33,7,"Short distance migrant",0,"Grassland","Seeds","Ground Forager"
"HOSP","Passer domesticus","House Sparrow",26.51,5,"Resident",4,"Town","Seeds","Ground Forager"
"HOWR","Troglodytes aedon","House Wren",10.85,8,"Neotropical migrant",2,"Open Woodland","Insects","Foliage Gleaner"
"INBU","Passerina cyanea","Indigo Bunting",14.69,8,"Neotropical migrant",1,"Open Woodland","Insects","Foliage Gleaner"
"KILL","Charadrius vociferus","Killdeer",96.44,2.58,"Short distance migrant",0,"Grassland","Insects","Ground Forager"
"LALO","Calcarius lapponicus","Lapland Longspur",27.84,5,"Short distance migrant",0,"Grassland","Insects","Ground Forager"
"LCSP","Ammodramus leconteii","Le Conte's Sparrow",13,11,"Short distance migrant",0,"Grassland","Insects","Ground Forager"
"LEFL","Empidonax minimus","Least Flycatcher",10,7.5,"Neotropical migrant",6,"Forest","Insects","Flycatching"
"LEYE","Tringa flavipes","Lesser Yellowlegs",77.5,2.79,"Short distance migrant",0,"Marsh","Insects","Probing"
"LISP","Melospiza lincolnii","Lincoln's Sparrow",16.6,7,"Short distance migrant",0,"Scrub","Insects","Ground Forager"
"MAWA","Setophaga magnolia","Magnolia Warbler",8.14,7.5,"Neotropical migrant",1,"Forest","Insects","Foliage Gleaner"
"MAWR","Cistothorus palustris","Marsh Wren",10.8,9,"Short distance migrant",1,"Marsh","Insects","Ground Forager"
"MOBL","Sialia currucoides","Mountain Bluebird",29.6,3,"Short distance migrant",8,"Open Woodland","Insects","Flycatching"
"MODO","Zenaida macroura","Mourning Dove",118.93,0.47,"Short distance migrant",2,"Open Woodland","Seeds","Ground Forager"
"MOWA","Geothlypis philadelphia","Mourning Warbler",11.74,5.458,"Neotropical migrant",0,"Forest","Insects","Foliage Gleaner"
"NAWA","Oreothlypis ruficapilla","Nashville Warbler",8.09,9.25,"Neotropical migrant",0,"Forest","Insects","Foliage Gleaner"
"NESP","Ammodramus nelsoni","Nelson's Sparrow",15.11,7.3,"Neotropical migrant",0,"Marsh","Insects","Ground Forager"
"NOFL","Colaptes auratus","Northern Flicker",131.46,3.35,"Short distance migrant",7,"Open Woodland","Insects","Ground Forager"
"NOPA","Setophaga americana","Northern Parula",7.84,8,"Neotropical migrant",9,"Forest","Insects","Foliage Gleaner"
"NOWA","Parkesia noveboracensis","Northern Waterthrush",16.3,9,"Neotropical migrant",0,"Forest","Insects","Ground Forager"
"OCWA","Oreothlypis celata","Orange-crowned Warbler",9.19,8.5,"Short distance migrant",0,"Forest","Insects","Foliage Gleaner"
"OSFL","Contopus cooperi","Olive-sided Flycatcher",32.1,3.8,"Neotropical migrant",8,"Open Woodland","Insects","Flycatching"
"OVEN","Seiurus aurocapilla","Ovenbird",18.8,8,"Neotropical migrant",0,"Forest","Insects","Ground Forager"
