sort,UniqueID,SurveyDate,Time,Visit,Observer,SurveyType,NoiseLevel,SPECIES,Count,TimeInterval,DISTANCE,FID,Strata,Plot,Station,Latitude,Longitude,Join_Count,YearLoss,Class_Name,ModisLCC,FIRENAME,YEAR,Disturbance,PKEY,PKEYm,Noise,JULIAN,JDAY,srise,start_time,TSSR,Interval,SS,RandomSel
1,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,FOSP,1,0-1 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
2,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,LISP,1,1-2 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
3,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,SWTH,1,0-1 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
4,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,YBFL,1,9-10 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,5-10 min,5.041,1
5,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,MYWA,1,6-7 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,5-10 min,5.041,1
6,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,HETH,1,0-1 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
7,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,OCWA,1,0-1 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
8,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,YBFL,1,8-9 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,5-10 min,5.041,1
9,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,FOSP,1,9-10 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,5-10 min,5.041,1
10,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,MYWA,2,1-2 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,0-3 min,5.041,1
11,05-041-01,22-Jun-15,8:29:00 AM,1,BFDO,ARU,Moderate,PAWA,1,4-5 min,ARU,44,5,41,1,58.13405789,-109.4259247,1,0,Sparse Coniferous,8,ALTA,1980,Fire,05-041-01_1,05-041-01_1_A,2,172,0.471232877,4.216720441,8.483333333,0.177775537,3-5 min,5.041,1
